Reg_No,Make,Model_1,Model,Variant_1,Variant,Year,Transaction_Year,Sold_Price,Out_Kms,Ownership,City
126515,CHEVROLET,BEAT,BEAT,LT Petrol,LT Petrol,2010,2016,199800,65710,1,BANGALORE
126542,CHEVROLET,BEAT,BEAT,LS Diesel,LS Diesel,2013,2016,366300,34743,1,BANGALORE
126544,NISSAN,TERRANO,TERRANO,XL (D),XL (D),2014,2016,804750,17338,3,BANGALORE
126572,HYUNDAI,I20,I20,Sportz 1.2,Sportz 1.2,2013,2016,477300,21416,1,BANGALORE
126578,MAHINDRA,SCORPIO,SCORPIO,SLX 2.6 TURBO 8 STR,SLX 2.6 TURBO 8 STR,2005,2016,244200,78072,2,BANGALORE
126603,HYUNDAI,EON,EON,MAGNA,MAGNA,2012,2016,244200,20083,1,BANGALORE
126615,HONDA,CITY,CITY,1.5 V AT,1.5 V AT,2010,2016,532800,60392,2,BANGALORE
126643,HYUNDAI,I20,I20,Asta 1.4 CRDI,Asta 1.4 CRDI,2013,2016,555000,40513,1,BANGALORE
126699,HYUNDAI,I20,I20,Sportz 1.2,Sportz 1.2,2011,2016,344100,72316,1,BANGALORE
126783,MARUTI SUZUKI,SWIFT DZIRE,SWIFT DZIRE,VXi 1.2 BS-IV,VXi 1.2,2014,2016,505050,20339,2,BANGALORE
126800,HONDA,BRIO,BRIO,VX AT,VX AT,2013,2016,499500,26833,1,BANGALORE
126843,MARUTI SUZUKI,RITZ,RITZ,VDI,VDI,2012,2016,333000,94875,1,BANGALORE
126848,HYUNDAI,GETZ PRIME,GETZ PRIME,1.3 GVS,1.3 GVS,2010,2016,194250,84494,2,BANGALORE
126876,HONDA,CITY,CITY,VX AT,VX AT,2014,2016,888000,16938,1,BANGALORE
126892,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2013,2016,527250,60710,1,BANGALORE
126903,HYUNDAI,VERNA,VERNA,VGT CRDi SX ABS,VGT CRDi SX ABS,2010,2016,333000,77135,2,BANGALORE
126918,SKODA,RAPID,RAPID,AMBITION 1.6 MPI MT PLUS,AMBITION 1.6 MPI MT PLUS,2014,2016,721500,16869,1,BANGALORE
126934,HYUNDAI,VERNA,VERNA,Fluidic 1.6 CRDI SX Opt,Fluidic 1.6 CRDI SX Opt,2011,2016,527250,81312,2,BANGALORE
126937,TATA,SAFARI STORME,SAFARI STORME,2.2 EX 4X2,2.2 EX 4X2,2013,2016,610500,24912,1,BANGALORE
126980,HYUNDAI,GETZ,GETZ,GL,GL,2005,2016,115000,67231,2,BANGALORE
127007,HYUNDAI,I20,I20,MAGNA (O) 1.2,MAGNA (O) 1.2,2013,2016,488400,15015,1,BANGALORE
127021,VOLKSWAGEN,POLO,POLO,GT TDI,GT TDI,2012,2016,466200,47808,1,BANGALORE
127098,HYUNDAI,SANTA FE,SANTA FE,2 WD MT,2 WD MT,2013,2016,888000,24123,1,BANGALORE
127101,HYUNDAI,EON,EON,D-Lite +,D-Lite +,2014,2016,288600,1582,1,BANGALORE
127128,CHEVROLET,BEAT,BEAT,LT Diesel,LT Diesel,2012,2016,344100,33133,1,BANGALORE
127218,MAHINDRA,SCORPIO,SCORPIO,LX,LX,2014,2016,666000,53487,1,BANGALORE
127254,HONDA,AMAZE,AMAZE,1.2 S I-VTEC,1.2 S I-VTEC,2014,2016,499500,5868,1,BANGALORE
127266,NISSAN,SUNNY,SUNNY,XL,XL,2013,2016,610500,29823,1,BANGALORE
127277,VOLKSWAGEN,VENTO,VENTO,Highline Diesel,Highline Diesel,2011,2016,521700,20545,2,BANGALORE
127289,TATA,NANO,NANO,LX,LX,2012,2016,75000,38953,2,BANGALORE
127329,VOLKSWAGEN,POLO,POLO,GT TSI,GT TSI,2013,2016,610500,17785,1,BANGALORE
127425,CHEVROLET,BEAT,BEAT,LS Diesel,LS Diesel,2014,2016,355200,22468,1,BANGALORE
127458,HONDA,AMAZE,AMAZE,1.5 S i-DTEC,1.5 S i-DTEC,2013,2016,455100,27258,1,BANGALORE
127522,VOLKSWAGEN,POLO,POLO,Highline1.2L (D),Highline1.2L (D),2011,2016,338550,91165,1,BANGALORE
127531,MARUTI SUZUKI,SX4,SX4,ZXI,ZXI,2008,2016,277500,26373,2,BANGALORE
127536,MARUTI SUZUKI,CELERIO,CELERIO,VXI,VXI,2014,2016,416250,8279,1,BANGALORE
127552,VOLKSWAGEN,VENTO,VENTO,Highline Diesel,Highline Diesel,2012,2016,638250,21417,1,BANGALORE
127553,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2012,2016,521700,57435,1,BANGALORE
127609,HONDA,JAZZ,JAZZ,S,S,2011,2016,360750,63521,2,BANGALORE
127624,TOYOTA,INNOVA,INNOVA,2.5 G 8 STR,2.5 G 8 STR,2012,2016,1176600,53574,1,BANGALORE
127647,FORD,FIGO,FIGO,Duratec Petrol EXI 1.2,Duratec Petrol EXI 1.2,2010,2016,260850,45151,2,BANGALORE
127659,VOLKSWAGEN,POLO,POLO,Highline1.2L (D),Highline1.2L (D),2014,2016,621600,18994,1,BANGALORE
127723,FIAT,PUNTO,PUNTO,DYNAMIC 1.3,DYNAMIC 1.3,2014,2016,471750,25255,1,BANGALORE
127758,MARUTI SUZUKI,ALTO,ALTO,LXI,LXI,2010,2016,188700,36826,2,BANGALORE
127831,MAHINDRA,SCORPIO,SCORPIO,SLE,SLE,2011,2016,444000,76268,2,BANGALORE
127833,MARUTI SUZUKI,RITZ,RITZ,LDi,LDi,2013,2016,399600,31929,1,BANGALORE
